con1,region,tam_loc,tiene_sistema_tren,sexo,edad,escolaridad,ingreso_familiar,condicion_actividad,tiene_auto,modo_principal,tp_eficiente,tp_rapido,tp_barato,tp_seguro,tp_comodo,contamina_su_modo,contamina_aire
15,region_3,100mil_mas,no,mujer,25-34,primaria,1-2sm,no_ocupado,si,particular,eficiente,lento,caro,inseguro,incomodo,poco,algo
16,region_1,100mil_mas,no,hombre,18-24,secundaria,4-5sm,ocupado,si,camion,eficiente,rapido,barato,inseguro,incomodo,poco,algo
17,region_2,100mil_mas,si,hombre,55-64,universidad,2-3sm,ocupado,si,colectivo,eficiente,lento,caro,inseguro,comodo,no_contamina,poco
18,region_3,100mil_mas,si,hombre,25-34,secundaria,5-6sm,ocupado,si,particular,eficiente,rapido,barato,seguro,comodo,algo,mucho
19,region_3,100mil_mas,si,mujer,35-44,secundaria,5-6sm,ocupado,si,particular,eficiente,lento,caro,inseguro,incomodo,mucho,mucho
20,region_3,15mil_99999,no,mujer,35-44,primaria,4-5sm,ocupado,si,particular,eficiente,rapido,caro,seguro,comodo,algo,mucho
21,region_3,100mil_mas,si,hombre,35-44,secundaria,3-4sm,ocupado,si,particular,eficiente,rapido,barato,seguro,comodo,mucho,mucho
22,region_3,100mil_mas,no,mujer,35-44,secundaria,2-3sm,no_ocupado,si,demanda,eficiente,lento,caro,inseguro,incomodo,algo,poco
23,region_4,100mil_mas,no,mujer,25-34,secundaria,1-2sm,ocupado,si,particular,eficiente,rapido,barato,seguro,comodo,algo,algo
24,region_3,100mil_mas,no,hombre,25-34,preparatoria,1-2sm,ocupado,si,particular,eficiente,rapido,caro,seguro,comodo,poco,poco
25,region_2,100mil_mas,si,hombre,45-54,primaria,no_declaro,ocupado,si,particular,eficiente,rapido,barato,seguro,comodo,no_contamina,poco
26,region_1,2500_14999,no,hombre,35-44,primaria,2-3sm,ocupado,si,ninguno,eficiente,rapido,barato,seguro,comodo,poco,algo
27,region_3,15mil_99999,no,mujer,25-34,primaria,mas_6sm,ocupado,si,particular,eficiente,lento,caro,seguro,comodo,poco,poco
29,region_3,2500_14999,no,mujer,55-64,primaria,no_declaro,no_ocupado,si,colectivo,eficiente,rapido,barato,seguro,incomodo,algo,poco
30,region_3,15mil_99999,no,hombre,45-54,secundaria,4-5sm,ocupado,si,particular,eficiente,rapido,barato,inseguro,incomodo,poco,poco
31,region_3,2500_14999,no,mujer,35-44,preparatoria,mas_6sm,no_ocupado,si,particular,eficiente,rapido,barato,seguro,comodo,no_contamina,poco
32,region_1,2500_14999,no,mujer,18-24,preparatoria,2-3sm,no_ocupado,si,camion,eficiente,lento,caro,inseguro,incomodo,poco,poco
33,region_3,100mil_mas,no,hombre,35-44,universidad,mas_6sm,ocupado,si,particular,eficiente,rapido,caro,seguro,comodo,no_contamina,algo
34,region_4,2500_14999,no,hombre,45-54,secundaria,5-6sm,ocupado,si,otros,eficiente,rapido,barato,seguro,comodo,poco,poco
35,region_3,2500_14999,no,hombre,25-34,universidad,3-4sm,ocupado,si,particular,eficiente,rapido,caro,seguro,comodo,algo,poco
37,region_1,100mil_mas,no,mujer,45-54,primaria,no_declaro,no_ocupado,si,particular,eficiente,rapido,barato,inseguro,incomodo,no_contamina,algo
38,region_1,100mil_mas,si,hombre,35-44,universidad,4-5sm,ocupado,si,particular,eficiente,rapido,caro,seguro,incomodo,poco,algo
40,region_1,100mil_mas,no,mujer,55-64,secundaria,4-5sm,no_ocupado,si,particular,eficiente,rapido,barato,seguro,comodo,poco,algo
41,region_3,100mil_mas,no,mujer,25-34,preparatoria,2-3sm,no_ocupado,si,particular,eficiente,lento,barato,inseguro,incomodo,algo,algo
42,region_3,menos_2500,no,mujer,35-44,secundaria,2-3sm,no_ocupado,si,particular,eficiente,lento,barato,inseguro,incomodo,algo,algo
43,region_3,15mil_99999,no,hombre,18-24,secundaria,3-4sm,no_ocupado,si,particular,eficiente,lento,caro,seguro,comodo,poco,poco
44,region_4,100mil_mas,no,hombre,55-64,preparatoria,5-6sm,ocupado,si,colectivo,eficiente,rapido,barato,inseguro,incomodo,poco,algo
45,region_4,100mil_mas,no,mujer,25-34,universidad,mas_6sm,ocupado,si,particular,eficiente,rapido,barato,seguro,comodo,poco,nada
46,region_3,100mil_mas,si,mujer,35-44,secundaria,4-5sm,ocupado,si,camion,eficiente,lento,caro,inseguro,incomodo,algo,algo
47,region_1,menos_2500,no,hombre,18-24,primaria,2-3sm,no_ocupado,si,particular,eficiente,rapido,barato,inseguro,incomodo,algo,poco
48,region_1,15mil_99999,si,hombre,18-24,preparatoria,mas_6sm,no_ocupado,si,ninguno,eficiente,rapido,barato,seguro,comodo,poco,algo
49,region_3,15mil_99999,no,mujer,45-54,secundaria,5-6sm,no_ocupado,si,particular,eficiente,rapido,caro,seguro,comodo,algo,mucho
50,region_4,menos_2500,no,hombre,55-64,primaria,1-2sm,ocupado,si,camion,eficiente,lento,barato,inseguro,comodo,mucho,poco
51,region_4,15mil_99999,no,hombre,55-64,primaria,4-5sm,ocupado,si,particular,eficiente,lento,barato,inseguro,comodo,mucho,algo
52,region_2,100mil_mas,si,mujer,65+,ninguna,no_declaro,no_ocupado,si,ninguno,eficiente,rapido,barato,seguro,comodo,algo,algo
53,region_3,100mil_mas,no,hombre,65+,primaria,no_declaro,no_ocupado,si,ninguno,eficiente,rapido,barato,seguro,comodo,algo,poco
54,region_1,menos_2500,no,hombre,65+,ninguna,no_declaro,ocupado,si,ninguno,eficiente,rapido,caro,seguro,comodo,poco,poco
55,region_3,100mil_mas,no,hombre,25-34,universidad,mas_6sm,ocupado,si,camion,eficiente,rapido,caro,seguro,comodo,algo,algo
57,region_3,100mil_mas,no,hombre,18-24,universidad,no_declaro,no_ocupado,si,camion,eficiente,lento,barato,inseguro,incomodo,algo,algo
58,region_1,menos_2500,no,hombre,45-54,preparatoria,2-3sm,ocupado,si,camion,eficiente,rapido,caro,inseguro,incomodo,algo,mucho
59,region_3,100mil_mas,no,hombre,18-24,secundaria,4-5sm,ocupado,si,particular,eficiente,lento,caro,inseguro,incomodo,poco,algo
60,region_3,100mil_mas,no,mujer,25-34,secundaria,3-4sm,ocupado,si,particular,eficiente,lento,caro,inseguro,comodo,no_contamina,poco
61,region_3,100mil_mas,no,mujer,25-34,secundaria,1-2sm,no_ocupado,si,particular,eficiente,rapido,barato,seguro,comodo,algo,algo
62,region_3,15mil_99999,no,hombre,35-44,secundaria,mas_6sm,ocupado,si,particular,eficiente,lento,caro,seguro,comodo,algo,mucho
63,region_1,15mil_99999,no,mujer,25-34,secundaria,5-6sm,ocupado,si,particular,eficiente,rapido,barato,seguro,comodo,no_contamina,nada
64,region_3,100mil_mas,no,mujer,35-44,preparatoria,3-4sm,no_ocupado,si,particular,eficiente,lento,barato,inseguro,incomodo,algo,algo
65,region_3,100mil_mas,no,mujer,35-44,preparatoria,3-4sm,no_ocupado,si,particular,eficiente,lento,barato,inseguro,incomodo,algo,algo
66,region_3,15mil_99999,no,hombre,25-34,preparatoria,mas_6sm,ocupado,si,particular,eficiente,lento,caro,seguro,comodo,poco,poco
67,region_2,100mil_mas,si,hombre,45-54,preparatoria,no_declaro,no_ocupado,si,camion,eficiente,rapido,caro,inseguro,comodo,poco,nada
68,region_2,15mil_99999,si,hombre,25-34,preparatoria,3-4sm,ocupado,si,ninguno,eficiente,lento,caro,seguro,comodo,algo,mucho
69,region_2,15mil_99999,si,hombre,25-34,preparatoria,no_declaro,ocupado,si,ninguno,eficiente,lento,caro,seguro,comodo,algo,mucho
70,region_2,100mil_mas,si,hombre,18-24,universidad,mas_6sm,ocupado,si,particular,eficiente,rapido,barato,seguro,comodo,poco,algo
71,region_2,100mil_mas,si,mujer,45-54,universidad,mas_6sm,ocupado,si,particular,eficiente,rapido,caro,seguro,comodo,algo,mucho
72,region_1,100mil_mas,no,hombre,25-34,preparatoria,no_declaro,no_ocupado,si,particular,eficiente,rapido,caro,seguro,comodo,algo,mucho
73,region_2,100mil_mas,si,hombre,45-54,universidad,mas_6sm,ocupado,si,particular,eficiente,lento,caro,seguro,comodo,poco,algo
74,region_1,15mil_99999,si,mujer,35-44,secundaria,3-4sm,no_ocupado,si,ninguno,eficiente,lento,barato,seguro,incomodo,algo,poco
75,region_3,menos_2500,no,mujer,35-44,primaria,4-5sm,no_ocupado,si,particular,eficiente,rapido,barato,seguro,comodo,algo,poco
76,region_1,2500_14999,no,hombre,45-54,preparatoria,2-3sm,ocupado,si,ninguno,eficiente,rapido,barato,seguro,comodo,poco,algo
77,region_3,100mil_mas,no,mujer,25-34,secundaria,1-2sm,no_ocupado,si,particular,eficiente,rapido,caro,seguro,comodo,algo,poco
78,region_4,100mil_mas,no,hombre,55-64,primaria,2-3sm,ocupado,si,colectivo,eficiente,rapido,barato,seguro,comodo,poco,poco
79,region_1,100mil_mas,si,hombre,18-24,preparatoria,mas_6sm,no_ocupado,si,camion,eficiente,rapido,barato,inseguro,incomodo,poco,algo
80,region_3,100mil_mas,no,mujer,18-24,preparatoria,no_declaro,no_ocupado,si,particular,eficiente,lento,barato,inseguro,comodo,poco,poco
81,region_3,100mil_mas,no,mujer,35-44,preparatoria,mas_6sm,ocupado,si,particular,eficiente,lento,barato,inseguro,incomodo,algo,algo
82,region_2,2500_14999,si,hombre,25-34,universidad,mas_6sm,ocupado,si,particular,eficiente,rapido,caro,inseguro,incomodo,no_contamina,algo
83,region_3,100mil_mas,no,mujer,35-44,secundaria,4-5sm,no_ocupado,si,particular,eficiente,lento,barato,inseguro,incomodo,mucho,mucho
84,region_1,100mil_mas,si,hombre,45-54,preparatoria,3-4sm,ocupado,si,particular,eficiente,lento,barato,inseguro,incomodo,mucho,algo
85,region_1,100mil_mas,no,hombre,25-34,universidad,mas_6sm,ocupado,si,particular,eficiente,rapido,barato,seguro,comodo,mucho,algo
86,region_3,100mil_mas,si,hombre,65+,primaria,mas_6sm,ocupado,si,camion,eficiente,rapido,caro,inseguro,incomodo,mucho,mucho
87,region_1,15mil_99999,no,mujer,55-64,primaria,no_declaro,ocupado,si,ninguno,eficiente,lento,caro,seguro,incomodo,poco,poco
88,region_1,15mil_99999,no,mujer,35-44,secundaria,mas_6sm,no_ocupado,si,particular,eficiente,rapido,barato,seguro,comodo,algo,poco
89,region_1,15mil_99999,no,mujer,25-34,preparatoria,1-2sm,no_ocupado,si,particular,eficiente,rapido,caro,seguro,comodo,no_contamina,nada
90,region_2,100mil_mas,si,mujer,35-44,secundaria,1-2sm,ocupado,si,particular,eficiente,lento,caro,seguro,incomodo,algo,algo
91,region_3,100mil_mas,si,hombre,25-34,preparatoria,5-6sm,ocupado,si,particular,eficiente,rapido,barato,seguro,comodo,mucho,mucho
92,region_1,15mil_99999,no,hombre,35-44,secundaria,no_declaro,ocupado,si,particular,eficiente,lento,caro,inseguro,comodo,poco,poco
93,region_1,15mil_99999,no,mujer,55-64,primaria,no_declaro,ocupado,si,ninguno,eficiente,rapido,caro,seguro,comodo,no_contamina,nada
94,region_1,menos_2500,no,hombre,18-24,preparatoria,3-4sm,ocupado,si,particular,eficiente,rapido,barato,seguro,comodo,no_contamina,nada
95,region_3,100mil_mas,no,hombre,18-24,preparatoria,mas_6sm,ocupado,si,particular,eficiente,rapido,caro,inseguro,incomodo,poco,poco
96,region_4,menos_2500,no,hombre,35-44,primaria,no_declaro,ocupado,si,camion,eficiente,lento,barato,inseguro,comodo,mucho,algo
97,region_1,2500_14999,no,hombre,18-24,primaria,1-2sm,ocupado,si,camion,eficiente,rapido,barato,seguro,incomodo,poco,mucho
98,region_4,menos_2500,no,hombre,25-34,preparatoria,3-4sm,ocupado,si,particular,eficiente,lento,barato,inseguro,incomodo,mucho,algo
99,region_2,2500_14999,si,hombre,25-34,universidad,mas_6sm,ocupado,si,particular,eficiente,rapido,barato,inseguro,incomodo,algo,mucho
100,region_3,100mil_mas,no,mujer,45-54,secundaria,mas_6sm,ocupado,si,camion,eficiente,lento,caro,seguro,comodo,no_contamina,poco
101,region_3,100mil_mas,no,mujer,35-44,universidad,no_declaro,ocupado,si,particular,eficiente,rapido,barato,seguro,comodo,poco,poco
102,region_1,15mil_99999,no,hombre,35-44,secundaria,no_declaro,ocupado,si,ninguno,eficiente,rapido,barato,seguro,incomodo,algo,poco
103,region_3,100mil_mas,no,hombre,65+,ninguna,no_declaro,no_ocupado,si,particular,eficiente,lento,barato,seguro,comodo,algo,mucho
104,region_1,100mil_mas,no,mujer,45-54,primaria,2-3sm,ocupado,si,camion,eficiente,rapido,barato,inseguro,incomodo,mucho,mucho
105,region_1,15mil_99999,no,mujer,45-54,primaria,no_declaro,no_ocupado,si,particular,eficiente,rapido,barato,seguro,comodo,no_contamina,nada
106,region_3,100mil_mas,no,mujer,55-64,secundaria,mas_6sm,no_ocupado,si,particular,eficiente,rapido,barato,seguro,comodo,algo,algo
107,region_2,100mil_mas,si,hombre,65+,universidad,mas_6sm,no_ocupado,si,masivo,eficiente,rapido,barato,seguro,incomodo,algo,poco
108,region_3,100mil_mas,no,mujer,25-34,universidad,3-4sm,ocupado,si,particular,eficiente,rapido,caro,inseguro,comodo,no_contamina,poco
109,region_3,100mil_mas,no,hombre,35-44,universidad,5-6sm,ocupado,si,particular,eficiente,rapido,barato,seguro,comodo,poco,poco
110,region_3,100mil_mas,no,mujer,25-34,primaria,no_declaro,ocupado,si,particular,eficiente,rapido,barato,seguro,comodo,poco,poco
111,region_2,2500_14999,si,hombre,45-54,preparatoria,no_declaro,ocupado,si,particular,eficiente,rapido,caro,seguro,comodo,poco,poco
112,region_1,2500_14999,no,mujer,25-34,preparatoria,3-4sm,no_ocupado,si,particular,eficiente,lento,barato,inseguro,incomodo,poco,algo
113,region_3,100mil_mas,no,hombre,45-54,preparatoria,mas_6sm,ocupado,si,particular,eficiente,rapido,barato,seguro,comodo,poco,poco
114,region_2,100mil_mas,si,hombre,65+,secundaria,mas_6sm,ocupado,si,masivo,eficiente,rapido,barato,seguro,incomodo,poco,poco
115,region_1,100mil_mas,no,hombre,35-44,secundaria,mas_6sm,ocupado,si,particular,eficiente,rapido,barato,seguro,comodo,poco,algo
116,region_1,15mil_99999,no,hombre,45-54,preparatoria,no_declaro,ocupado,si,particular,eficiente,rapido,barato,seguro,comodo,no_contamina,nada
117,region_2,100mil_mas,si,hombre,45-54,universidad,mas_6sm,ocupado,si,particular,eficiente,rapido,barato,seguro,incomodo,mucho,mucho
118,region_2,100mil_mas,si,hombre,45-54,universidad,mas_6sm,ocupado,si,particular,eficiente,rapido,caro,seguro,comodo,algo,poco
120,region_2,100mil_mas,si,hombre,55-64,ninguna,mas_6sm,ocupado,si,activo,eficiente,rapido,caro,inseguro,incomodo,no_contamina,algo
121,region_3,15mil_99999,no,hombre,35-44,secundaria,mas_6sm,ocupado,si,particular,eficiente,rapido,caro,seguro,comodo,algo,mucho
122,region_4,100mil_mas,no,hombre,35-44,preparatoria,2-3sm,ocupado,si,particular,eficiente,rapido,barato,seguro,comodo,poco,poco
123,region_1,100mil_mas,no,mujer,45-54,preparatoria,mas_6sm,ocupado,si,camion,eficiente,rapido,barato,seguro,comodo,algo,algo
124,region_1,2500_14999,no,mujer,65+,ninguna,no_declaro,no_ocupado,si,ninguno,eficiente,lento,barato,inseguro,incomodo,algo,poco
125,region_1,100mil_mas,no,hombre,25-34,universidad,no_declaro,ocupado,si,particular,eficiente,lento,barato,seguro,comodo,poco,mucho
126,region_4,100mil_mas,no,hombre,25-34,preparatoria,4-5sm,ocupado,si,camion,eficiente,rapido,barato,seguro,incomodo,algo,algo
127,region_2,100mil_mas,si,mujer,35-44,ninguna,no_declaro,no_ocupado,si,particular,eficiente,rapido,barato,seguro,comodo,algo,mucho
128,region_4,2500_14999,no,hombre,55-64,preparatoria,no_declaro,ocupado,si,particular,eficiente,rapido,barato,seguro,comodo,algo,poco
129,region_2,100mil_mas,si,mujer,35-44,universidad,5-6sm,no_ocupado,si,particular,eficiente,lento,caro,inseguro,incomodo,poco,poco
130,region_2,100mil_mas,si,mujer,25-34,preparatoria,2-3sm,no_ocupado,si,particular,eficiente,lento,caro,inseguro,incomodo,poco,poco
131,region_1,100mil_mas,si,mujer,35-44,secundaria,no_declaro,no_ocupado,si,ninguno,eficiente,rapido,caro,inseguro,comodo,algo,algo
132,region_2,100mil_mas,si,hombre,35-44,universidad,no_declaro,ocupado,si,particular,eficiente,lento,caro,inseguro,incomodo,mucho,algo
133,region_1,100mil_mas,no,hombre,35-44,universidad,no_declaro,ocupado,si,particular,eficiente,rapido,caro,seguro,comodo,poco,algo
134,region_2,100mil_mas,si,hombre,65+,preparatoria,no_declaro,no_ocupado,si,particular,eficiente,rapido,barato,seguro,comodo,poco,mucho
135,region_1,100mil_mas,no,mujer,45-54,preparatoria,mas_6sm,ocupado,si,particular,eficiente,rapido,barato,seguro,comodo,poco,poco
136,region_4,menos_2500,no,hombre,18-24,preparatoria,mas_6sm,no_ocupado,si,camion,eficiente,lento,caro,seguro,incomodo,algo,poco
138,region_1,100mil_mas,no,hombre,45-54,secundaria,mas_6sm,ocupado,si,camion,eficiente,lento,caro,inseguro,incomodo,mucho,poco
139,region_2,100mil_mas,si,mujer,25-34,universidad,no_declaro,no_ocupado,si,particular,eficiente,rapido,barato,seguro,comodo,poco,algo
142,region_2,100mil_mas,si,hombre,18-24,secundaria,no_declaro,no_ocupado,si,particular,eficiente,rapido,barato,seguro,comodo,mucho,mucho
143,region_2,100mil_mas,si,hombre,35-44,universidad,no_declaro,ocupado,si,colectivo,eficiente,rapido,caro,inseguro,comodo,algo,mucho
146,region_3,15mil_99999,no,hombre,35-44,ninguna,3-4sm,ocupado,si,particular,eficiente,lento,barato,seguro,comodo,poco,nada
147,region_1,100mil_mas,no,hombre,55-64,secundaria,no_declaro,ocupado,si,particular,eficiente,rapido,barato,seguro,comodo,algo,poco
148,region_4,100mil_mas,no,mujer,18-24,secundaria,1-2sm,no_ocupado,no,colectivo,eficiente,rapido,barato,inseguro,incomodo,poco,poco
149,region_1,100mil_mas,no,mujer,25-34,preparatoria,4-5sm,no_ocupado,no,camion,eficiente,rapido,barato,seguro,comodo,mucho,mucho
150,region_1,100mil_mas,no,mujer,45-54,ninguna,mas_6sm,no_ocupado,no,camion,eficiente,rapido,barato,seguro,comodo,mucho,mucho
151,region_4,100mil_mas,no,hombre,25-34,preparatoria,1-2sm,ocupado,no,colectivo,eficiente,rapido,barato,seguro,comodo,algo,algo
153,region_4,100mil_mas,no,mujer,25-34,preparatoria,5-6sm,ocupado,no,colectivo,eficiente,rapido,barato,seguro,incomodo,mucho,mucho
154,region_3,100mil_mas,no,mujer,55-64,primaria,mas_6sm,no_ocupado,no,camion,eficiente,rapido,barato,seguro,comodo,no_contamina,poco
155,region_3,100mil_mas,no,hombre,18-24,preparatoria,mas_6sm,no_ocupado,no,camion,eficiente,rapido,barato,inseguro,incomodo,poco,poco
156,region_2,100mil_mas,si,hombre,35-44,preparatoria,3-4sm,ocupado,no,camion,eficiente,rapido,barato,inseguro,incomodo,poco,algo
157,region_2,100mil_mas,si,mujer,18-24,secundaria,no_declaro,no_ocupado,no,camion,eficiente,rapido,barato,seguro,comodo,algo,algo
158,region_2,100mil_mas,si,mujer,25-34,preparatoria,1-2sm,no_ocupado,no,camion,eficiente,rapido,barato,inseguro,incomodo,algo,mucho
159,region_1,100mil_mas,no,hombre,45-54,primaria,2-3sm,ocupado,no,camion,eficiente,rapido,barato,seguro,incomodo,algo,algo
160,region_1,100mil_mas,no,mujer,35-44,primaria,5-6sm,ocupado,no,camion,eficiente,rapido,barato,seguro,comodo,poco,poco
161,region_1,100mil_mas,no,hombre,25-34,ninguna,4-5sm,ocupado,no,camion,eficiente,lento,barato,seguro,incomodo,poco,algo
162,region_1,100mil_mas,no,mujer,25-34,secundaria,2-3sm,ocupado,no,camion,eficiente,rapido,caro,seguro,comodo,poco,poco
163,region_1,menos_2500,no,mujer,25-34,secundaria,1-2sm,no_ocupado,no,activo,eficiente,rapido,barato,seguro,comodo,mucho,nada
164,region_1,menos_2500,no,mujer,25-34,primaria,no_declaro,no_ocupado,no,camion,eficiente,rapido,caro,seguro,comodo,poco,algo
165,region_1,15mil_99999,si,mujer,45-54,secundaria,mas_6sm,ocupado,no,otros,eficiente,lento,barato,inseguro,incomodo,no_contamina,nada
166,region_1,15mil_99999,si,mujer,35-44,secundaria,3-4sm,no_ocupado,no,particular,eficiente,lento,caro,inseguro,comodo,no_contamina,nada
168,region_1,100mil_mas,si,mujer,25-34,primaria,3-4sm,no_ocupado,no,masivo,eficiente,rapido,barato,inseguro,comodo,poco,algo
169,region_2,100mil_mas,si,mujer,35-44,preparatoria,no_declaro,no_ocupado,no,masivo,eficiente,rapido,caro,seguro,incomodo,algo,algo
170,region_2,100mil_mas,si,hombre,35-44,secundaria,mas_6sm,ocupado,no,ninguno,eficiente,rapido,caro,inseguro,incomodo,algo,mucho
171,region_2,100mil_mas,si,hombre,35-44,ninguna,5-6sm,ocupado,no,masivo,eficiente,rapido,caro,inseguro,incomodo,algo,mucho
172,region_2,100mil_mas,si,mujer,25-34,preparatoria,2-3sm,ocupado,no,masivo,eficiente,rapido,caro,seguro,incomodo,poco,algo
173,region_2,2500_14999,si,hombre,65+,preparatoria,no_declaro,no_ocupado,no,colectivo,eficiente,rapido,caro,seguro,comodo,no_contamina,nada
174,region_2,2500_14999,si,hombre,65+,universidad,no_declaro,no_ocupado,no,demanda,eficiente,rapido,barato,seguro,comodo,poco,poco
175,region_2,2500_14999,si,hombre,45-54,secundaria,3-4sm,ocupado,no,colectivo,eficiente,rapido,barato,seguro,comodo,poco,poco
176,region_2,2500_14999,si,mujer,25-34,secundaria,4-5sm,no_ocupado,no,camion,eficiente,rapido,barato,seguro,comodo,algo,poco
177,region_2,2500_14999,si,hombre,25-34,secundaria,no_declaro,ocupado,no,colectivo,eficiente,rapido,barato,seguro,comodo,algo,algo
178,region_2,100mil_mas,si,hombre,65+,ninguna,no_declaro,ocupado,no,camion,eficiente,rapido,barato,seguro,comodo,poco,poco
179,region_2,100mil_mas,si,mujer,35-44,secundaria,2-3sm,no_ocupado,no,masivo,eficiente,lento,caro,inseguro,incomodo,algo,mucho
180,region_2,100mil_mas,si,mujer,65+,primaria,no_declaro,no_ocupado,no,ninguno,eficiente,rapido,barato,seguro,comodo,algo,algo
181,region_2,menos_2500,si,hombre,45-54,ninguna,1-2sm,ocupado,no,demanda,eficiente,rapido,barato,seguro,comodo,algo,poco
183,region_2,menos_2500,si,hombre,45-54,primaria,2-3sm,ocupado,no,ninguno,eficiente,rapido,barato,seguro,comodo,poco,poco
184,region_2,menos_2500,si,hombre,55-64,ninguna,mas_6sm,ocupado,no,otros,eficiente,rapido,caro,seguro,comodo,poco,poco
185,region_2,menos_2500,si,mujer,25-34,secundaria,2-3sm,no_ocupado,no,ninguno,eficiente,lento,caro,inseguro,incomodo,poco,poco
186,region_2,15mil_99999,si,mujer,25-34,secundaria,mas_6sm,ocupado,no,particular,eficiente,rapido,caro,inseguro,comodo,mucho,mucho
187,region_2,15mil_99999,si,mujer,25-34,preparatoria,4-5sm,no_ocupado,no,camion,eficiente,rapido,barato,seguro,incomodo,algo,algo
188,region_2,15mil_99999,si,mujer,25-34,secundaria,2-3sm,no_ocupado,no,demanda,eficiente,rapido,barato,seguro,comodo,algo,algo
189,region_2,100mil_mas,si,hombre,65+,ninguna,no_declaro,no_ocupado,no,camion,eficiente,rapido,caro,seguro,comodo,mucho,mucho
190,region_2,15mil_99999,si,hombre,65+,ninguna,mas_6sm,no_ocupado,no,ninguno,eficiente,rapido,caro,seguro,comodo,poco,algo
191,region_1,2500_14999,no,mujer,35-44,secundaria,1-2sm,no_ocupado,no,ninguno,eficiente,rapido,caro,seguro,comodo,no_contamina,poco
192,region_1,2500_14999,no,mujer,25-34,preparatoria,2-3sm,no_ocupado,no,ninguno,eficiente,rapido,barato,seguro,comodo,mucho,algo
193,region_1,15mil_99999,no,hombre,25-34,secundaria,3-4sm,ocupado,no,colectivo,eficiente,rapido,caro,inseguro,incomodo,algo,algo
194,region_3,100mil_mas,si,mujer,25-34,preparatoria,5-6sm,ocupado,no,ninguno,eficiente,rapido,barato,seguro,comodo,no_contamina,mucho
195,region_4,15mil_99999,no,mujer,35-44,primaria,mas_6sm,ocupado,no,demanda,eficiente,rapido,barato,inseguro,comodo,poco,algo
196,region_4,menos_2500,no,hombre,55-64,preparatoria,no_declaro,no_ocupado,no,demanda,eficiente,rapido,caro,seguro,comodo,poco,poco
197,region_1,100mil_mas,no,hombre,45-54,ninguna,4-5sm,ocupado,no,camion,eficiente,rapido,barato,seguro,comodo,poco,poco
198,region_1,100mil_mas,no,hombre,35-44,preparatoria,4-5sm,ocupado,no,camion,eficiente,rapido,barato,seguro,comodo,poco,poco
199,region_1,100mil_mas,no,mujer,18-24,secundaria,menos_1sm,ocupado,no,camion,eficiente,rapido,barato,seguro,comodo,poco,poco
200,region_1,100mil_mas,no,hombre,35-44,preparatoria,3-4sm,ocupado,no,camion,eficiente,rapido,barato,seguro,comodo,poco,poco
202,region_1,2500_14999,no,mujer,35-44,preparatoria,2-3sm,no_ocupado,no,camion,eficiente,rapido,caro,seguro,comodo,algo,nada
203,region_1,2500_14999,no,mujer,25-34,ninguna,1-2sm,no_ocupado,no,ninguno,eficiente,lento,caro,seguro,comodo,poco,poco
204,region_1,2500_14999,no,mujer,55-64,ninguna,1-2sm,no_ocupado,no,colectivo,eficiente,rapido,caro,seguro,incomodo,algo,nada
205,region_1,100mil_mas,no,hombre,35-44,preparatoria,3-4sm,ocupado,no,camion,eficiente,lento,caro,inseguro,incomodo,algo,algo
206,region_1,100mil_mas,no,mujer,18-24,secundaria,4-5sm,no_ocupado,no,colectivo,eficiente,lento,caro,inseguro,incomodo,algo,poco
